A320SGG,Senegal Airlines (6V-AIH) (SGG)
A320SGG2,Senegal Airlines (6V-AII) (SGG)
A320SHK,Shorouk Air (SHK)
A320SLK,SilkAir (SLK)
A320SPL,SimPilots VA (SPL)
A320SSV,Skyservice (SSV)
A320SUD,Sudan Airways (SUD)
A320SVA,Saudi Arabian Airlines (SVA)
A320SVA2,Saudi Arabian Airlines (Sky Team) (SVA)
A320SVK,Air Slovakia (SVK)
A320SVR,Ural Airlines (SVR)
A320SVR2,Ural Airlines (Word Expo 2020) (SVR)
A320SWE,Air Sweden Aviation (SWE)
A320SWR,Swiss Airlines (SWR)
A320SWROLD,Swiss International Airlines (old colours) (SWR)
A320SYR,Syrian Arab Airlines (SYR)
A320TAE,TAME Ecuador (TAE)
A320TAF,Tropic Air VA (TAF)
A320TAI,Taca International Airlines (TAI)
A320TAI2,Taca International Airlines (Avianca) (Star Alliance) (TAI)
A320TAI3,Taca International Airlines (Avianca) (TAI)
A320TAM,TAM Linhas Aereas (TAM)
A320TAM2,TAM Linhas Aereas (Star Alliance) (TAM)
A320TAM8,TAM - Linhas Aereas (Todo assinado) (TAM)
A320TAM9,TAM - Linhas Aereas (CBF - Seleção brasileira) (TAM)
A320TAP,Transportes Aereos Portugueses (TAP)
A320TAR,Tunis Air (TAR)
A320TCA,Tunis Carthage VA (TCA)
A320TCW,Thomas Cook Belgium (Kim Clijsters) (TCW)
A320TCW2,Thomas Cook Belgium (Kabouter Plop) (TCW)
A320TCX,Thomas Cook Airlines (TCX)
A320TEF,Terra Fly VA (TEF)
A320TGW,Tiger Airways (TGW)
A320THA,Thai (THA)
A320THY,Turkish Airlines (THY)
A320TNA,TransAsia (TNA)
A320TOM,Thomsonfly (TOM)
A320TPC,Air Caledonie (Calin) (TPC)
A320TRI,Trinacria VA (TRI)
A320TVF,Transavia France (TVF)
A320TVS,Travel Servis (TVS)
A320TVS2,Travel Servis (Smartwings) (TVS)
A320TWA,The World Airlines VA (TWA)
A320TWS,True Wings VA (TWS)
A320UAL,United Airlines (UAL)
A320UAL2,United Airlines (retro) (UAL)
A320UDC,Donbassaero (UR-DAB) (UDC)
A320UDC2,Donbassaero (UR-DAK) (UDC)
A320USW,US Airwings VA (USW)
A320UZB,Uzbekistan Airways (UZB)
A320UZB2,Uzbekistan Airways (Government) (UZB)
A320VAR,Virtualiroma VA (VAR)
A320VBD,Va Bird VA (VBD)
A320VBV,V-Bird VA (VBV)
A320VIM,Air Via Bulgarian Airways (VIM)
A320VIP,Virtual Pilots Association VA (VIP)
A320VIR,Virgin Atlantic (VIR)
A320VIV,Viva Aerobus (VIV)
A320VKH,Viking Hellas Airlines (VKH)
A320VLE,Volare (VLE)
A320VLG,Vueling Airlines (VLG)
A320VLG2,Vueling Airlines (50 million) (VLG)
A320VLK,Vladivostok Air (VLK)
A320VNS,Venus VA (VNS)
A320VNV,Avia Nova (VNV)
A320VOI,Volaris (VOI)
A320VRD,Virgin America (VRD)
A320VSW,Virtual Skyways (VSW)
A320VVC,VivaColombia (VVC)
A320WAJ,AirAsia Japan (WAJ)
A320WAN,Wataniya Airways (WAN)
A320WAU,WizzAir Ukraine (WAU)
A320WCT,27th Squadron (WCT)
A320WFX,Westfalia Express VA (WFX)
A320WHT,White (WHT)
A320WOH,woh|group VA (WOH)
A320WRC,Wind Rose (WRC)
A320WVL,WizzAir Bulgaria (WVL)
A320WZZ,WizzAir (WZZ)
A320XAS,Alair VA (XAS)
A320XLF,XL Airways France (XLF)
A320XRW,X-Airways VA (XRW)
A320YAP,OLT Express Poland (YAP)
A320AAFWL,Aigle Azur (Sharklets) (AAF)
A320ABQWL2,AirBlue (winglets) (ABQ)
A320ABYWL,Air Arabia (Sharklets) (ABY)
A320AEEWL,Aegean Airlines (winglets) (AEE)
A320AFLWL,Aeroflot (Sharklets) (AFL)
A320AFLWL2,Aeroflot (winglets) (AFL)
A320AFRWL,Air France (Sharklets) (AFR)
A320AFRWL2,Air France (80 Years) (Sharklets) (AFR)
A320AIBWL,Airbus Industry (Sharklets) (AIB)
A320AICWL,Air India (winglets) (AIC)
A320AIJWL,Interjet (Sharklets) (AIJ)
A320ANZWL,Air New Zealand (Sharklets) (ANZ)
A320ARCWL,Arcade Air Provence VA (winglets) (ARC)
A320AVAWL,Avianca (Sharklets) (AVA)
A320AVAWL2,Avianca (Star Alliance) (Sharklets) (AVA)
A320AWQWL,Indonesia AirAsia (Sharklets) (AWQ)
A320AXMWL,AirAsia (AXM)
A320BAWWL,British Airways BAW (winglets) (BAW)
A320BERWL,Air Berlin (winglets) (BER)
A320CBJWL,Beijing Capital Airlines (winglets) (CBJ)
A320CDCWL2,Loong Air - Hualong (winglets) (CDC)
A320CEBWL,Cebu Air (Sharklets) (CEB)
A320CQHWL,Spring Airlines (Sharklets) (CQH)
A320CRKWL,Hong Kong Airlines (winglets) (CRK)
A320CSCWL,Sichuan Airlines (winglets) (CSC)
A320CTOWL,Air Catalonia VA (winglets) (CTO)
A320CTVWL,Citilink Garuda Indonesia (Sharklets) (CTV)
A320DFLWL,DutchFly VA (DFL)
A320DLHWL,Lufthansa (Sharklets) (DLH)
A320ETDWL,Etihad Airways (Sharklets) (ETD)
A320ETDWL2,Etihad Airways (winglets) (tail mosaic) (ETD)
A320EWGWL,Eurowings (winglets) (EWG)
A320EZYWL,Easyjet (Sharklets) (EZY)
A320EZYWL2,Easyjet (winglets) (orange strip on body) (EZY)
A320FFTWL,Frontier Airlines (bear) (FFT)
A320FFTWL2,Frontier Airlines (red bird) (FFT)
A320FFTWL3,Frontier Airlines (fox) (FFT)
A320FUNWL,FunFlyers VA (winglets) (FUN)
A320GOWWL,Go Airlines (winglets) (GOW)
A320GWIWL,Germanwings (GWI)
A320HAYWL,Hamburg Airways (Blue White D-AHHF) (winglets) (HAY)
A320HKEWL,HK Express (winglets) (purple city) (HKE)
A320IADWL,Air Asia India (winglets) (IAD)
A320IBEWL,Iberia (red and yellow tail) (IBE)
A320IBEWL2,Iberia (body strips) (IBE)
A320IBSWL,Iberia Express (IBS)
A320IGOWL,IndiGo (Sharklets) (IGO)
A320JBUWL,Jetblue Airways (Blueberries) (Sharklets) (JBU)
A320JBUWL2,Jetblue Airways (Barcode) (Sharklets) (JBU)
A320JJPWL,Jetstar Japan (Sharklets) (JJP)
A320JSTWL,Jetstar (Sharklets) (JST)
A320JSTWL2,Jetstar (100 Aircraft) (Sharklets) (JST)
A320KACWL,Kuwait Airways (winglets) (KAC)
A320KNEWL,Nas Air (winglets) (KNE)
A320KZRWL,Air Astana (winglets) (KZR)
A320MEAWL,Middle East Airlines (winglets) (MEA)
A320MONWL,Monarch (Sharklets) (MON)
A320MXAWL2,Mexicana (winglets) (MXA)
A320NKSWL,Spirit Airlines (Sharklets) (NKS)
A320NKSWL2,Spirit Airlines (yellow) (NKS)
A320NLYWL,Fly Niki (Air Berlin) (Sharklets) (NLY)
A320OAHWL,Olympic Airlines VA (winglets) (OAH)
A320PGTWL,Pegasus (winglets) (PGT)
A320QTRWL,Qatar Airways (Sharklets) (QTR)
A320RBAWL2,Royal Brunei Airlines (winglets) (RBA)
A320RNAWL,Nepal Airlines (winglets) (RNA)
A320RVXWL,Reivax Air VA (winglets) (RVX)
A320SBIWL,S7 Airlines (Sharklets) (SBI)
A320SFJWL,StarFlyer (Sharklets) (SFJ)
A320SWIWL,Sunwings Express VA (Sharklets) (SWI)
A320SWRWL,Swiss International Airlines (Sharklets) (SWR)
A320TAMWL,TAM Linhas Aéreas (Sharklets) (TAM)
A320TAMWL2,TAM - Linhas Aereas (winglets) (TAM)
A320TARWL,Tunis Air (TAR)
A320TGWWL,Tiger Airways (Sharklets) (TGW)
A320TTWWL,Tigerair Taiwan (winglets) (TTW)
A320UKVWL,Fly UK VA (winglets) (UKV)
A320VJCWL,VietJet Air (VJC)
A320VLGWL,Vueling (Sharklets) (VLG)
A320VLGWL2,Vueling (Linking Europe) (Sharklets) (VLG)
A320VNLWL,Vanilla Air (Sharklets) (VNL)
A320VOIWL,Volaris (Sharklets) (VOI)
A320VRDWL,Virgin America (Sharklets) (VRD)
A320VTIWL,Vistara Airlines - Tata SIA (winglets) (VTI)
A320WAJWL,AirAsia Japan (Sharklets) (WAJ)
A320WAUWL,Wizz Air Ukraine (Sharklets) (WAU)
A320WZZWL,Wizzair (Sharklets) (WZZ)
A320WZZWL2,Wizzair (winglets) (white nose and coloured tail) (WZZ)
A321A,Airbus (Default aircraft) (AIB)
A321AAF,Aigle Azur (AAF)
A321AAL,American Airlines (AAL)
A321AAR,Asiana Airlines (AAR)
A321AAR2,Asiana Airlines (Star Alliance) (AAR)
A321ABB,Air Bilbao (ABB)
A321ABL,Air Busan (ABL)
A321ACA,Air Canada (ACA)
A321AEE,Aegean Airlines (AEE)
A321AFF,Aeroflot Nord VA (AFF)
A321AFL,Aeroflot (AFL)
A321AFR,Air France (AFR)
A321AIB,Airbus Industrie (AIB)
A321AIB2,Airbus (Default aircraft) (AIB)
A321AIC,Air India (AIC)
A321ALK,Sri Lankan Airlines (ALK)
A321ANY,Anyway VA (ANY)
A321AUA,Austrian Airlines (light blue engine) (AUA)
A321AUA2,Austrian Airlines (myAustrian) (red engine) (AUA)
A321AWE,US Airways (AWE)
A321AYC,Aviaco (AYC)
A321AZA,Alitalia (AZA)
A321B,Novair (Default aircraft) (NVR)
A321BAW,British Airways (BAW)
A321BER,Air Berlin (BER)
A321BGN,Birgen Air VA (BGN)
A321BIE,Air Mediterranee (BIE)
A321BMA,British Midland BMI (BMA)
A321BTV,Metro Batavia (BTV)
A321BUH,Bursa Airlines VA (BUH)
A321CCA,Air China (CCA)
A321CES,China Eastern Airlines (CES)
A321CFG,Condor (CFG)
A321CSA,Czech Airlines (CSA)
A321CSC,Sichuan Airlines (CSC)
A321CSN,China Southern Airlines (CSN)
A321CYP,Cyprus Airways (CYP)
A321DLH,Lufthansa (DLH)
A321DLH2,Lufthansa (Star Alliance) (DLH)
A321EBA,EuroBerlin VA (EBA)
A321EEP,European Express (EEP)
A321EIN,Aer Lingus (EIN)
A321ETD,Etihad Airways (ETD)
A321EVA,EVA Air Taiwan (EVA)
A321FFT,Frontier Airlines (Owl on tail) (FFT)
A321FFV,FFM Virtual (FFV)
A321FIN,Finnair (FIN)
A321FRR,Fresh Air (FRR)
A321FVI,Flyitalia VA (FVI)
A321GFA,Gulf Air (GFA)
A321HAM,Hamburg Air (HAM)
A321HDA,Dragonair (HDA)
A321HVN,Vietnam Airlines (HVN)
A321HVN2,Vietnam Airlines (SkyTeam) (HVN)
A321IAW,Iraqi Airways (IAW)
A321IBE,Iberia (IBE)
A321IBE2,Iberia (new colors) (IBE)
A321IHY,Istanbul Airlines VA (IHY)
A321INX,Inter Express (INX)
A321IRM,Mahan Air (IRM)
A321ITF,AIR INTER VA (ITF)
A321JKK,Spanair (JKK)
A321KGL,TUI MetroJet (ex KOLAVIA) (KGL)
A321KGL2,Metrojet (KGL)
A321KHV,Cambodia Angkor Air (KHV)
A321KKK,Atlasjet (KKK)
A321KVL,CARAVAiles VA (KVL)
A321KYV,Cyprus Turkish Airlines (KYV)
A321KZN,Air Nomad VA (KZN)
A321KZR,Air Astana (KZR)
A321KZR2,Air Astana (20 years Kazakhstan independence) (KZR)
A321LBT,Nouvelair (LBT)
A321LMU,Almasria Universal Airlines (LMU)
A321MEA,Middle East Airlines (MEA)
A321MHL,Millenium Air (MHL)
A321MLR,Mihin Lanka (MLR)
A321MON,Monarch (MON)
A321MSR,Egypt Air (MSR)
A321NKS,Spirit Airlines (grey) (NKS)
A321NKS2,Spirit Airlines (bue) (NKS)
A321NLY,Fly Niki (NLY)
A321NVR,Novair (NVR)
A321NVR2,Novair (Default aircraft) (NVR)
A321NWS,Nordwind Airlines (NWS)
A321OHY,Onur Air (OHY)
A321QTR,Qatar Airways (QTR)
A321RAM,Royal Air Maroc (RAM)
A321RJA,Royal Jordanian (RJA)
A321RVX,Reivax Air VA (RVX)
A321SAS,Scandinavian Airlines (SAS)
A321SVA,Saudi Arabian Airlines (SVA)
A321SVR,Ural Airlines (SVR)
A321SWR,Swiss International Airlines (SWR)
A321SWROLD,Swiss International Airlines (old colours) (SWR)
A321TAI,Taca International Airlines (TAI)
A321TAI2,Taca International Airlines - Avianca Costa Rica (TAI)
A321TAM,TAM Linhas Aereas (TAM)
A321TAM2,TAM - Linhas Aereas (TAM)
A321TAP,TAP Air Portugal (TAP)
A321TCX,Thomas Cook Airlines (TCX)
A321TCX2,Thomas Cook Airlines (Egypt) (TCX)
A321THY,Turkish Airlines (THY)
A321THY2,Turkish Airlines (Star Alliance) (THY)
A321TNA,Transasia Airways (TNA)
A321TWA,Trans World Airlines VA (TWA)
A321UDC,Donbassaero (UDC)
A321UTA,UTAir (UTA)
A321VAV,Cambodia Angkor Air (VAV)
A321VSW,Virtual Skyways (VSW)
A321WRC,Wind Rose (WRC)
A321ZRV,Zirve Airlines VA (ZRV)
A321AALWL,American Airlines (Sharklets) (AAL)
A321AIBWL,Airbus Industry (Sharklets) (AIB)
A321AMUWL,Air Macau (winglets) (AMU)
A321AMUWL2,Air Macau (Macau welcomes you) (winglets) (AMU)
A321AVAWL,Avianca (Sharklets) (AVA)
A321AVAWL2,Airbus (winglets) (AVA)
A321BERWL,Air Berlin (winglets) (BER)
A321CFGWL,Condor Flugdienst (Sharklets) (CFG)
A321CSCWL,Sichuan Airlines (winglets) (CSC)
A321CSNWL,China Southern Airlines (winglets) (CSN)
A321CTOWL,Air Catalonia VA (winglets) (CTO)
A321ECNWL,Econair VA (winglets) (ECN)
A321ETDWL,Etihad Airways (winglets) (ETD)
A321ETDWL2,Etihad Airways (winglets) (eagle on tail) (ETD)
A321FINWL,Finnair (Sharklets) (FIN)
A321FUNWL,FunFlyers VA (winglets) (FUN)
A321GMIWL,Germania (Sharklets) (GMI)
A321GMIWL2,Germania (Alltours) (Sharklets) (GMI)
A321JBUWL,Jetblue Airways (Sharklets) (JBU)
A321MONWL,Monarch (winglets) (MON)
A321MXAWL,Mexicana (winglets) (MXA)
A321NKSWL3,Spirit Airlines (all yellow) (winglets) (NKS)
A321PALWL,Philippine Airlines (Sharklets) (PAL)
A321ROUWL,Air Canada Rouge (winglets) (ROU)
A321TAMWL,TAM - Linhas Aereas (winglets) (TAM)
A321TAMWL2,TAM - Linhas Aereas (winglets) (TAM)
A321TCXWL,Thomas Cook Airlines (Sharklets) (TCX)
A321TCXWL2,Thomas Cook Airlines (Transition Livery) (Sharklets) (TCX)
A321THYWL,Turkish Airlines (Sharklets) (THY)
A321UKVWL,Fly UK VA (winglets) (UKV)
A321UTAWL,UTair Aviation (Sharklets) (UTA)
A321VAXWL,V Air (black bear on tail) (winglets) (VAX)
A321VAXWL2,V Air (black bear on body) (winglets) (VAX)
A321VJCWL,VietJet Air (9000th Airbus) (winglets) (VJC)
A321VKGWL,Thomas Cook Scandinavia (winglets) (VKG)
A321VLGWL,Vueling (winglets) (VLG)
A321VOIWL,Volaris (winglets) (VOI)
A321WOWWL,WOW Air (winglets) (WOW)
A321WOWWL2,WOW Air (winglets) (WOW)
A321WZZWL,Wizzair (winglets) (WZZ)
A332AAL,American Airlines (AAL)
A332AAW,Afriqiyah Airways (AAW)
A332AAW2,Afriqiyah Airways (5A-ONF) (AAW)
A332ACI,Air Caledonie International (ACI)
A332ACI2,Air Caledonie International (new painting - flower tail) (ACI)
A332AEA,Air Europa (AEA)
A332AEA2,Air Europa (Be Live Hotels) (AEA)
A332AEA3,Air Europa (Skyteam) (AEA)
A332AFL,Aeroflot (AFL)
A332AFR,Air France (AFR)
A332AFR2,Air France (Old Colours) (AFR)
A332AIB,Airbus Industrie (AIB)
A332AIB2,Airbus Industrie (A330-200F) (AIB)
A332AIC,Air India (AIC)
A332ALK,Sri Lankan Airlines (ALK)
A332ALZ,AlAndalus Airlines VA (ALZ)
A332ARA,Arik Air (ARA)
A332ARC,Arcade Air Provence VA (ARC)
A332ARG,Aerolineas Argentinas (ARG)
A332ASY,KC-30 Default (Royal Australian Air Force)
A332AUA,Austrian Airlines (AUA)
A332AUASA,Austrian STAR Alliance (AUA)
A332AVA,Avianca (AVA)
A332AVACRG,Avianca (cargo) (AVA)
A332AVASA,Avianca (Star Alliance) (AVA)
A332AZA,Alitalia (AZA)
A332AZA2,Alitalia (Expo 2015) (AZA)
A332AZA3,Alitalia (Skyteam) (AZA)
A332AZU,Azul Linhas Aereas (old tail) (PR-AIZ) (AZU)
A332AZU2,Azul Linhas Aereas (brazilian flag) (PR-AIV) (AZU)
A332BEC,RSE State Air Company Berkut (BEC)
A332BEL,Brussels Airlines (BEL)
A332BER,Air Berlin (BER)
A332BER2,Air Berlin (Oneworld) (BER)
A332BGH,Balkan Holidays (BGH)
A332BMA,British Midland (BMA)
A332BWG,Blue Wings (BWG)
A332CAJ,Air Caraibes Atlantique (CAJ)
A332CCA,Air China (CCA)
A332CCA2,Air China (Blue Gold Special) (CCA)
A332CCA3,Air China (Red Gold Special) (CCA)
A332CEL,Caeli VA (CEL)
A332CES,China Eastern (CES)
A332CHH,Hainan Airlines (white nose) (CHH)
A332CHH2,Hainan Airlines (red and yellow nose) (CHH)
A332CKY,Cloudsky Airways VA (CKY)
A332CNS,Conesul VA (CNS)
A332CRK,Hong Kong Airlines (CRK)
A332CRKCRG,Hong Kong Airlines (cargo) (CRK)
A332CRL,Corsair TUI (CRL)
A332CSC,Sichuan Airlines (CSC)
A332CSN,China Southern Airlines (PW) (CSN)
A332CSN2,China Southern Airlines (RR) (CSN)
A332CTO,Air Catalonia VA (CTO)
A332CYP,Cyprus Airways (CYP)
A332DAH,Air Algerie (DAH)
A332DAL,Delta Air Lines (DAL)
A332DLH,Lufthansa (DLH)
A332DRD,Air Madrid (DRD)
A332DSY,Dream Sky VA (DSY)
A332EBA,EuroBerlin VA (EBA)
A332EDW,Edelweiss (EDW)
A332EEP,European Express VA (EEP)
A332EEZ,Eurofly (EEZ)
A332EIN,Aer Lingus (EIN)
A332ESH,European Air Shuttle VA (ESH)
A332ETD,Etihad Airways (RR) (ETD)
A332ETD2,Etihad Airways (GE) (ETD)
A332ETD3,Etihad Airways (Man City FC) (ETD)
A332ETD4,Etihad Airways (mosaic) (ETD)
A332ETDCRG,Etihad Airways (Cargo) (ETD)
A332EVA,EVA Air Taiwan (EVA)
A332EWG,Eurowings (EWG)
A332FJI,Fiji Airways (FJI)
A332FUN,FunFlyers VA (FUN)
A332FVG,VG Airlines (FVG)
A332GAL,German Airlines VA (GAL)
A332GFA,Gulf Air (GFA)
A332GIA,Garuda Indonesia (GIA)
A332GIA2,Garuda Indonesia (Visit Indonesia) (GIA)
A332GLL,German-Lloyd VA (GLL)
A332GRL,Air Greenland (GRL)
A332HAL,Hawaiian Airlines (HAL)
A332HFY,Hi Fly (HFY)
A332HVN,Vietnam Airlines (all blue) (HVN)
A332HVN2,Vietnam Airlines (SkyTeam) (HVN)
A332IYE,Yemenia (IYE)
A332JAI,Jet Airways (JAI)
A332JST,Jetstar (gray) (JST)
A332JST2,Jetstar (white) (JST)
A332KAC,Kuwait Airways (KAC)
A332KAL,Korean Air (KAL)
A332KKK,Atlasjet (KKK)
A332KLM,KLM Royal Dutch Airlines (KLM)
A332KNE,Nas Air (KNE)
A332LAA,Lybian Airlines (LAA)
A332LST,Lusitaniair VA (LST)
A332LTU,LTU International Airways (LTU)
A332LTUOLD,LTU International Airways (Old) (LTU)
A332LVG,Livingston (LVG)
A332MAS,Malaysia Airlines (MAS)
A332MASCRG,MASkargo (cargo) (MAS)
A332MAU,Air Mauritius (MAU)
A332MEA,Middle East Airlines (MEA)
A332MNGCRG,MNG Airlines (cargo) (MNG)
A332MON,Monarch (MON)
A332MPD,Air Comet VA (MPD)
A332MSR,Egyptair (MSR)
A332MSR2,Egyptair (Star Alliance) (MSR)
A332MSRSA,Egypt Air (Star Alliance) (MSR)
A332MXA,Mexicana (MXA)
A332MYT,My Travel (MYT)
A332NEC,NeckarAirways VA (NEC)
A332NLV,New Livingston (NLV)
A332NMB,Air Namibia (NMB)
A332NVR,Novair (NVR)
A332NWA,Northwest Airlines (NWA)
A332OAH,Olympic Airlines VA (OAH)
A332OMA,Oman Air (OMA)
A332OSE,Aeroservice VA (OSE)
A332PVI,PVI Airlines VA (PVI)
A332QFA,Qantas Airways (QFA)
A332QTR,Qatar Airways (QTR)
A332QTRCRG,Qatar Airways (cargo) (QTR)
A332RJA,Royal Jordanian (RJA)
A332RKA,Air Afrique (RKA)
A332RRR,RAF-HQSTC (Air Transport) (RRR)
A332RVX,Reivax Air VA (RVX)
A332SAA,South African Airways (SAA)
A332SAB,Sabena (SAB)
A332SEU,Star Airlines (SEU)
A332SEY,Air Seychelles (SEY)
A332SWI,Sunwings Express VA (SWI)
A332SWR,Swiss Airlines (SWR)
A332SWR2,Swiss Airlines (Star Alliance) (SWR)
A332TAE,Tame Ecuador (TAE)
A332TAM,TAM Linhas Aereas (GE) (TAM)
A332TAM2,TAM Linhas Aereas (PW) (TAM)
A332TAP,TAP Air Portugal (GE) (TAP)
A332TAP2,TAP Air Portugal (PW) (TAP)
A332TCA,Tunis Carthage VA (TCA)
A332TCX,Thomas Cook Airlines (grey tail) (TCX)
A332TCX2,Thomas Cook Airlines (blue tail and engines) (TCX)
A332THY,Turkish Airlines (THY)
A332THYCRG,Turkish Airlines (cargo) (THY)
A332TSC,Air Transat (TSC)
A332TSC2,Air Transat (Old Colours) (TSC)
A332UAE,Emirates (UAE)
A332VBV,V-Bird VA (VBV)
A332VIP,Virtual Pilots Association VA (VIP)
A332VKG,Thomas Cook Scandinavia (VKG)
A332VOZ,Virgin Australia (VOZ)
A332WOH,woh| group VA (WOH)
A332WRC,Wind Rose (WRC)
A332XLF,XL Airways France (XLF)
A332XRW,X-Airways VA (XRW)
A333AAL,American Airlines (AAL)
A333AAR,Asiana Airlines (AAR)
A333ACA,Air Canada (ACA)
A333ACA2,Air Canada (Star Alliance) (ACA)
A333ACA3,Air Canada (Star Alliance) (ACA)
A333AEA,Air Europa (AEA)
A333AEA2,Air Europa (new painting) (AEA)
A333AFL,Aeroflot (AFL)
A333AFL2,Aeroflot (Skyteam) (AFL)
A333AGA,Air Germany VA (AGA)
A333AGD,AirGolden (AGD)
A333AIB,Airbus Industrie (AIB)
A333AKE,AKE Airlines VA (AKE)
A333ALK,Sri Lankan Airlines (ALK)
A333AMZ,Amazon Group VA (AMZ)
A333ANY,Anyway VA (ANY)
A333AWE,US Airways (AWE)
A333BAF,Belgian Air Force (BAF)
A333BEL,Brussels Airlines (BEL)
A333BER,Air Berlin (BER)
A333BGN,Birgen Air VA (BGN)
A333BUH,Bursa Airlines VA (BUH)
A333CAJ,Air Caraibes Atlantique (CAJ)
A333CAL,China Airlines (CAL)
A333CCA,Air China (CCA)
A333CEB,Cebu Air (CEB)
A333CES,China Eastern (CES)
A333CHH,Hainan Airlines (CHH)
A333CHH2,Hainan Airlines (white nose) (B-5935) (CHH)
A333CPA,Cathay Pacific Airlines (CPA)
A333CRK,Hong Kong Airlines (CRK)
A333CRL,Corsair TUI (CRL)
A333CSA,Czech Airlines (CSA)
A333CSC,Sichuan Airlines (CSC)
A333CSN,China Southern Airlines (CSN)
A333CST,ColStar VA (CST)
A333CYB,Cyber Air VA (CYB)
A333DAL,Delta Air Lines (DAL)
A333DFY,Dreamfly Airways VA (DFY)
A333DLH,Lufthansa (DLH)
A333EAS,European Airwings (EAS)
A333EDW,Edelweiss (EDW)
A333EIN,Aer Lingus (EIN)
A333EMI,Emisphair VA (EMI)
A333ETD,Etihad Airways (ETD)
A333ETD2,Etihad Airways (Visit Abu Dhabi) (ETD)
A333EVE,Evelop Airlines (EVE)
A333FIN,Finnair (FIN)
A333FIN2,Finnair (new colors - white flower) (FIN)
A333GIA,Garuda Indonesia (GIA)
A333GIA2,Garuda Indonesia (Liverpool FC) (GIA)
A333GIA3,Garuda Indonesia (GIA)
A333GIA4,Garuda Indonesia (Visit Indonesia) (GIA)
A333HAM,Hamburg Air VA (HAM)
A333HDA,Dragonair (HDA)
A333IBE,Iberia (New Colours) (IBE)
A333IBE2,Iberia (Old Colours) (IBE)
A333IDX,Indonesia AirAsia X (IDX)
A333IHY,Istanbul Airlines VA (IHY)
A333ITF,AIR INTER VA (ITF)
A333IWD,Iberworld (IWD)
A333JAI,Jet Airways (JAI)
A333JGO,Jet's Go VA (JGO)
A333KAL,Korean Air (KAL)
A333KFY,Kafly VA (KFY)
A333KLM,KLM Royal Dutch Airlines (KLM)
A333KNE,Nas Air (KNE)
A333LTU,LTU (LTU)
A333LXR,Air Luxor (LXR)
A333MAS,Malaysia Airlines (MAS)
A333MAS2,Malaysia Airlines (One World) (MAS)
A333MHL,Millenium Air VA (MHL)
A333MSR,Egypt Air (MSR)
A333MSR2,Egypt Air (flag tail) (MSR)
A333NPS,Nephis VA (NPS)
A333NWA,Northwest Airlines (NWA)
A333OHY,Onur Hava Tasimacilik (OHY)
A333OMA,Oman Air (OMA)
A333PAL,Philippine Airlines (PAL)
A333QFA,Qantas Airways (QFA)
A333QTR,Qatar Airways (Revised Colours) (QTR)
A333QTR2,Qatar Airways (QTR)
A333RSY,I-Fly Airlines (RSY)
A333SAB,Sabena (SAB)
A333SAI,Shaheen Air International (SAI)
A333SAS,Scandinavian Airlines (SAS)
A333SAS2,Scandinavian Airlines (Star Alliance) (SAS)
A333SIA,Singapore Airlines (SIA)
A333SSV,Skyservice (SSV)
A333SVA,Saudi Arabian Airlines (SVA)
A333SVA2,Saudi Arabian Airlines (HZ-AQJ) (SVA)
A333SVA3,Saudi Arabian Airlines (SkyTeam) (SVA)
A333SWR,Swiss International Airlines (SWR)
A333SWROLD,Swiss International Airlines (old colours) (SWR)
A333TAX,Thai AirAsia X (TAX)
A333THA,Thai Airways International (THA)
A333THA2,Thai Airways International (Star Alliance) (THA)
A333THY,Turkish Airlines (THY)
A333TNA,TransAsia (TNA)
A333TSC,Air Transat (TSC)
A333TSC2,Air Transat (C-GKTS) (TSC)
A333TWA,The World Airlines VA (TWA)
A333VIR,Virgin Atlantic (VIR)
A333VKG,Thomas Cook Scandinavia (VKG)
A333VSW,Virtual Skyways VA (VSW)
A333XAX,Malasya AirAsia X (XAX)
A333XAX2,AirAsia X (City Logojet) (XAX)
A333XAX3,AirAsia X (Visit Malaysia) (XAX)
A333XLF,XL Airways France (XLF)
A342AAW,Afriqiyah Airways (AAW)
A342AEA,Air Europa (AEA)
A342AIB,Airbus Industrie (AIB)
A342ALD,Air Leisure (ALD)
A342AUA,Austrian Airlines (AUA)
A342BHA,Bohemia Airlines VA (BHA)
A342BUB,Air Bourbon (BUB)
A342CTM,Armee de l'Air Francaise (CTM)
A342EGY,Egyptian Air Force (EGY)
A342GFV,German Flights VA (GFV)
A342HAM,Hamburg Air VA (HAM)
A342MSR,Egypt Air (MSR)
A342QAF,Qatar Amiri Flight (QAF)
A342RBA,Royal Brunei Airlines (RBA)
A342RJA,Royal Jordanian (RJA)
A342SAA,South African Airways (SAA)
A342SVA,Saudi Arabian Airlines (SVA)
A342VCV,Conviasa VA (VCV)
A343ACA,Air Canada (ACA)
A343ACAOLD,Air Canada (old hybrid colours) (ACA)
A343AFR,Air France (AFR)
A343AIB,Airbus Industry (AIB)
A343AJM,Air Jamaica (AJM)
A343ALK,Sri Lankan Airlines (ALK)
A343ALZ,AlAndalus Airlines VA (ALZ)
A343ANY,Anyway VA (ANY)
A343ARG,Aerolineas Argentinas (ARG)
A343ARG2,Aerolineas Argentinas (Skyteam) (ARG)
A343ARG3,Aerolineas Argentinas (old colours) (ARG)
A343AUA,Austrian Airlines (AUA)
A343BGN,Birgen Air VA (BGN)
A343CAL,China Airlines (CAL)
A343CCA,Air China (CCA)
