A319VOI3,Volaris (Lidia) (VOI)
A319VOI4,Volaris (Andres) (VOI)
A319VRD,Virgin America (VRD)
A319VRE,Air Côte d'Ivoire (VRE)
A319WGT,Lion Air Services (VW Air Services) (WGT)
A319WHT,White (WHT)
A319YAP,OLT Express Poland (YAP)
A319ZZZ,Rinat Akhmetov (P4-ARL)
A319ZZZ2,Sophar Property Holding (M-KATE)
A319ZZZ3,General Aviation (VT-IAH) (ZZZ)
A319AALWL,American Airlines (Sharklets) (AAL)
A319AAW2,Afriqiyah Airways (blue strips on tail) (AAW)
A319AIBWL,Airbus Industry (Sharklets) (AIB)
A319AVAWL,Avianca (winglets) (AVA)
A319AVAWL2,Avianca (Sharklets) (AVA)
A319CBEWL,MexicanaClick (winglets) (CBE)
A319CTOWL,Air Catalonia VA (winglets) (CTO)
A319EZYWL,Easyjet (winglets) (EZY)
A319SHU,Sakhalinskie Aviatrassy - SAT (SHU)
A319TBAWL,Tibet Airlines (winglets) (TBA)
A320AAF,Aigle Azur (AAF)
A320AAR,Asiana Airlines (AAR)
A320AAW,Afriqiyah Airways (AAW)
A320ABL,Air Busan (ABL)
A320ABX,Air Brixia VA (ABX)
A320ABY,Air Arabia (ABY)
A320ABZ,Air Transport Atlantic VA (ABZ)
A320ACA,Air Canada (ACA)
A320ACI,Air Caledonie International (ACI)
A320ADH,Air One (ADH)
A320ADR,Adria Airways (ADR)
A320ADR2,Adria Airways (retro) (ADR)
A320AEE,Aegean Airlines (AEE)
A320AEE2,Aegean Airlines (Acropolis) (AEE)
A320AEE3,Aegean Airlines (Star Alliance) (AEE)
A320AEE4,Aegean Airlines (Visit Greece) (AEE)
A320AEF,Aero lloyd (AEF)
A320AEL,AirEurope VA (AEL)
A320AES,ACES Colombia (AES)
A320AEW,Aerosvit Airlines (AEW)
A320AEX,Air Excellence VA (Groningen) (AEX)
A320AEX2,Air Excellence VA (Madrid) (AEX)
A320AFF,Aeroflot Nord VA (AFF)
A320AFL,Aeroflot (AFL)
A320AFL2,Aeroflot (Sochi 2014) (AFL)
A320AFR,Air France (AFR)
A320AFR2,Air France (Skyteam) (AFR)
A320AFR3,Air France (retro) (AFR)
A320AGA,Air Germany VA (AGA)
A320AHS,Air Hispania VA (AHS)
A320AHY,Azerbaijan Airlines (AHY)
A320AIB,Airbus Industrie (AIB)
A320AIC,Air India (AIC)
A320AIC2,Air India (Star Alliance) (AIC)
A320AIJ,Interjet (AIJ)
A320AIJ2,Interjet (EcoJet) (AIJ)
A320AIQ,Thai Air Asia (AIQ)
A320AIQ2,Thai Air Asia (AIQ)
A320AIT,Air Italia VA (AIT)
A320AJM,Air Jamaica (AJM)
A320AKE,AKE Airlines VA (AKE)
A320ALA,AeroClub L'Aquila Virtual (ALA)
A320ALK,Sri Lankan Airlines (ALK)
A320ALZ,AlAndalus Airlines VA (ALZ)
A320AMC,Air Malta (AMC)
A320AMC2,Air Malta (old colours) (AMC)
A320AMC3,Air Malta (AMC)
A320AMZ,Amazon Group VA (AMZ)
A320ANR,Yanair (ANR)
A320ANY,Anyway VA (ANY)
A320ANZ,Air New Zealand (ANZ)
A320ANZ2,Air New Zealand (rugby) (ANZ)
A320ANZ3,Air New Zealand (Star Alliance) (ANZ)
A320APJ,Peach Aviation (APJ)
A320ARE,LAN Colombia (ARE)
A320ARG,Aerolineas Argentinas (ARG)
A320ARP,Aeroplano Virtual VA (ARP)
A320ASL,Air Serbia (ASL)
A320AUA,Austrian Airlines (AUA)
A320AUA2,Austrian Airlines (retro) (AUA)
A320AUA3,Austrian Airlines (Star Alliance) (AUA)
A320AUA4,Austrian Airlines (Unofficial Fan Line 2008) (AUA)
A320AUZ,Australian Virtual Airlines VA (AUZ)
A320AVA,Avianca (AVA)
A320AVA2,Avianca (old livery) (AVA)
A320AVA3,Avianca (Star Alliance) (AVA)
A320AWE,US Airways (AWE)
A320AWQ,Indonesia AirAsia (AWQ)
A320AWQ2,AirAsia Indonesia (WOW) (AWQ)
A320AWQ3,Indonesia AirAsia (AWQ)
A320AWV,Air Wallonie VA (AWV)
A320AXM,AirAsia (AXM)
A320AXM10,AirAsia (Ninetology) (AXM)
A320AXM2,AirAsia (A true Malaysian) (AXM)
A320AXM3,AirAsia (Airline of the Year) (AXM)
A320AXM4,AirAsia (Bo Rocks) (AXM)
A320AXM5,AirAsia (Dato Pahamin) (AXM)
A320AXM6,AirAsia (Expedia) (AXM)
A320AXM7,AirAsia (Queens Park Rangers) (AXM)
A320AXM8,AirAsia (Asean Basketball League) (AXM)
A320AXM9,AirAsia (Year of the Dragon) (AXM)
A320AXN,GRAlexandAIR.net VA (AXN)
A320AZA,Alitalia (AZA)
A320AZA2,Alitalia (alitalia.com) (AZA)
A320AZI,Astra Airlines (AZI)
A320BAB,Bahrain Air (BAB)
A320BAL,Belle Air Europe (BAL)
A320BAW,British Airways (BAW)
A320BEL,Brussels Airlines (BEL)
A320BER,Air Berlin (BER)
A320BER2,Air Berlin (interim) (BER)
A320BGH,Balkan Holidays (BGH)
A320BGN,Birgen Air VA (BGN)
A320BHP,Belair (BHP)
A320BKP,Bangkok Air (Guilin) (BKP)
A320BKP2,Bangkok Air (Krabi) (BKP)
A320BKP3,Bangkok Air (Samui) (BKP)
A320BMA,British Midland (BMA)
A320BMA2,British Midland (Star Alliance) (BMA)
